,Open,High,Low,Close,Adj Close,Volume
2022-07-21 11:33:00-04:00,11942.693359375,11943.3837890625,11940.783203125,11942.6787109375,11942.6787109375,9574000.0
2022-07-21 11:34:00-04:00,11943.0361328125,11953.783203125,11943.0361328125,11953.783203125,11953.783203125,8921000.0
2022-07-21 11:35:00-04:00,11953.9892578125,11954.630859375,11949.0888671875,11951.9619140625,11951.9619140625,7778000.0
2022-07-21 11:36:00-04:00,11954.8916015625,11955.013671875,11953.3671875,11954.1142578125,11954.1142578125,7385000.0
2022-07-21 11:37:00-04:00,11953.1181640625,11956.8134765625,11953.1181640625,11956.7548828125,11956.7548828125,6900000.0
2022-07-21 11:38:00-04:00,11957.078125,11957.078125,11950.35546875,11950.35546875,11950.35546875,8065000.0
2022-07-21 11:39:00-04:00,11949.2607421875,11949.2607421875,11940.8095703125,11940.8095703125,11940.8095703125,8079000.0
2022-07-21 11:40:00-04:00,11940.9208984375,11941.5029296875,11938.505859375,11941.0078125,11941.0078125,7569000.0
2022-07-21 11:41:00-04:00,11940.033203125,11943.39453125,11939.505859375,11943.39453125,11943.39453125,7040000.0
2022-07-21 11:42:00-04:00,11943.80078125,11943.80078125,11941.1328125,11942.0400390625,11942.0400390625,7014000.0
2022-07-21 11:43:00-04:00,11940.353515625,11944.1630859375,11940.08984375,11943.5322265625,11943.5322265625,6875000.0
2022-07-21 11:44:00-04:00,11945.12890625,11948.962890625,11944.33203125,11944.33203125,11944.33203125,6366000.0
2022-07-21 11:45:00-04:00,11943.5400390625,11945.556640625,11941.75,11944.779296875,11944.779296875,6914000.0
2022-07-21 11:46:00-04:00,11943.5966796875,11944.669921875,11942.6240234375,11944.669921875,11944.669921875,5921000.0
2022-07-21 11:47:00-04:00,11946.044921875,11949.4931640625,11946.044921875,11949.05078125,11949.05078125,6036000.0
2022-07-21 11:48:00-04:00,11944.09765625,11944.4189453125,11940.4853515625,11940.4853515625,11940.4853515625,6674000.0
2022-07-21 11:49:00-04:00,11940.421875,11940.421875,11932.1181640625,11934.4970703125,11934.4970703125,7262000.0
2022-07-21 11:50:00-04:00,11934.0048828125,11935.5673828125,11934.0048828125,11935.4580078125,11935.4580078125,5638000.0
2022-07-21 11:51:00-04:00,11934.060546875,11934.5869140625,11931.8515625,11934.517578125,11934.517578125,6210000.0
2022-07-21 11:52:00-04:00,11934.31640625,11939.173828125,11934.31640625,11939.173828125,11939.173828125,5621000.0
2022-07-21 11:53:00-04:00,11939.099609375,11944.0732421875,11939.099609375,11943.6376953125,11943.6376953125,5507000.0
2022-07-21 11:54:00-04:00,11941.8251953125,11941.9833984375,11937.3310546875,11937.6767578125,11937.6767578125,5339000.0
2022-07-21 11:55:00-04:00,11938.31640625,11946.318359375,11938.31640625,11946.318359375,11946.318359375,7273000.0
2022-07-21 11:56:00-04:00,11946.03125,11950.2529296875,11945.1337890625,11948.8876953125,11948.8876953125,6704000.0
2022-07-21 11:57:00-04:00,11948.640625,11949.2333984375,11946.234375,11948.9287109375,11948.9287109375,6011000.0
2022-07-21 11:58:00-04:00,11948.6201171875,11953.46875,11948.6201171875,11952.7353515625,11952.7353515625,6561000.0
2022-07-21 11:59:00-04:00,11952.2646484375,11954.259765625,11949.3349609375,11949.3349609375,11949.3349609375,6491000.0
2022-07-21 12:00:00-04:00,11948.03515625,11949.94921875,11946.2587890625,11949.94921875,11949.94921875,10793000.0
2022-07-21 12:01:00-04:00,11949.8017578125,11959.2470703125,11949.8017578125,11952.8154296875,11952.8154296875,9004000.0
2022-07-21 12:02:00-04:00,11954.8603515625,11967.3671875,11954.8603515625,11966.7919921875,11966.7919921875,3497000.0
2022-07-21 12:03:00-04:00,11967.150390625,11973.765625,11966.21875,11970.9619140625,11970.9619140625,13322000.0
2022-07-21 12:04:00-04:00,11972.259765625,11976.45703125,11972.259765625,11975.3701171875,11975.3701171875,3341000.0
2022-07-21 12:05:00-04:00,11975.3330078125,11977.0263671875,11972.16015625,11977.0087890625,11977.0087890625,9079000.0
2022-07-21 12:06:00-04:00,11978.9013671875,11988.111328125,11977.1220703125,11987.90234375,11987.90234375,8599000.0
2022-07-21 12:07:00-04:00,11988.5849609375,11995.376953125,11988.5849609375,11994.326171875,11994.326171875,9736000.0
2022-07-21 12:08:00-04:00,11993.109375,11996.158203125,11992.259765625,11995.552734375,11995.552734375,12508000.0
2022-07-21 12:09:00-04:00,11996.392578125,12000.38671875,11995.8388671875,12000.38671875,12000.38671875,4019000.0
2022-07-21 12:10:00-04:00,12000.4541015625,12000.4541015625,11995.37109375,11995.37109375,11995.37109375,7731000.0
2022-07-21 12:11:00-04:00,11994.1611328125,11995.224609375,11990.3505859375,11991.00390625,11991.00390625,7718000.0
2022-07-21 12:12:00-04:00,11991.1376953125,11991.1376953125,11978.900390625,11979.8076171875,11979.8076171875,7332000.0
2022-07-21 12:13:00-04:00,11979.82421875,11987.1630859375,11978.814453125,11987.1630859375,11987.1630859375,11101000.0
2022-07-21 12:14:00-04:00,11987.697265625,11989.6826171875,11987.0224609375,11989.3525390625,11989.3525390625,3137000.0
2022-07-21 12:15:00-04:00,11989.0830078125,11989.5546875,11986.8642578125,11986.8642578125,11986.8642578125,8681000.0
2022-07-21 12:16:00-04:00,11985.1708984375,11989.4111328125,11984.8681640625,11989.4111328125,11989.4111328125,2328000.0
2022-07-21 12:17:00-04:00,11989.375,11992.1826171875,11989.375,11992.1826171875,11992.1826171875,9744000.0
2022-07-21 12:18:00-04:00,11993.2275390625,11996.9140625,11993.140625,11996.9140625,11996.9140625,3013000.0
2022-07-21 12:19:00-04:00,11997.333984375,11997.333984375,11990.9111328125,11992.708984375,11992.708984375,6613000.0
2022-07-21 12:20:00-04:00,11993.6962890625,11997.734375,11993.6962890625,11997.208984375,11997.208984375,7352000.0
2022-07-21 12:21:00-04:00,11997.111328125,11997.111328125,11989.248046875,11989.248046875,11989.248046875,7299000.0
2022-07-21 12:22:00-04:00,11990.2353515625,11994.23828125,11988.9462890625,11994.23828125,11994.23828125,5695000.0
2022-07-21 12:23:00-04:00,11994.4462890625,11995.3134765625,11991.267578125,11993.44921875,11993.44921875,5834000.0
2022-07-21 12:24:00-04:00,11993.4833984375,11997.4951171875,11991.5,11997.4951171875,11997.4951171875,6486000.0
2022-07-21 12:25:00-04:00,11999.1650390625,11999.6865234375,11995.7734375,11997.2041015625,11997.2041015625,6949000.0
2022-07-21 12:26:00-04:00,11997.63671875,11999.9140625,11995.8671875,11995.8671875,11995.8671875,6882000.0
2022-07-21 12:27:00-04:00,11996.14453125,12006.505859375,11995.869140625,12006.078125,12006.078125,5586000.0
2022-07-21 12:28:00-04:00,12007.63671875,12015.3984375,12007.63671875,12015.2392578125,12015.2392578125,13000000.0
2022-07-21 12:29:00-04:00,12014.5947265625,12016.923828125,12011.3095703125,12014.8798828125,12014.8798828125,3411000.0
2022-07-21 12:30:00-04:00,12015.6259765625,12020.330078125,12015.361328125,12020.330078125,12020.330078125,6148000.0
2022-07-21 12:31:00-04:00,12020.923828125,12025.5576171875,12020.6357421875,12025.5576171875,12025.5576171875,6623000.0
2022-07-21 12:32:00-04:00,12027.5263671875,12027.5263671875,12023.662109375,12025.8623046875,12025.8623046875,7436000.0
2022-07-21 12:33:00-04:00,12025.9404296875,12026.6865234375,12021.392578125,12021.392578125,12021.392578125,6527000.0
2022-07-21 12:34:00-04:00,12021.8955078125,12022.0576171875,12019.333984375,12020.6396484375,12020.6396484375,6385000.0
2022-07-21 12:35:00-04:00,12021.078125,12023.962890625,12021.078125,12022.310546875,12022.310546875,13132000.0
2022-07-21 12:36:00-04:00,12018.8076171875,12018.8076171875,12015.6884765625,12016.2763671875,12016.2763671875,4068000.0
2022-07-21 12:37:00-04:00,12016.1328125,12021.1240234375,12014.044921875,12021.1240234375,12021.1240234375,10371000.0
2022-07-21 12:38:00-04:00,12022.0615234375,12026.4404296875,12021.671875,12026.3828125,12026.3828125,2856000.0
2022-07-21 12:39:00-04:00,12026.390625,12026.4677734375,12023.884765625,12025.6875,12025.6875,9231000.0
